                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98552,                 3.4566,                  1.303,                 0.0056,                0.85167,                0.26148,                 0.2136,                0.61198,                   3.76,                 1.0668,             0.00019998,             0.00019998,             0.00019998
                      2,                0.84265,                 2.5996,                 1.2222,                0.23511,                0.30934,                0.30007,                0.24984,                0.62731,                 3.6044,                 1.1209,               0.000407,               0.000407,               0.000407
                      3,                0.80681,                 2.1881,                 1.1649,                0.43264,                0.39926,                0.40613,                0.28528,                0.87962,                 3.1583,                 1.3994,             0.00060984,             0.00060984,             0.00060984
                      4,                0.81104,                 2.0017,                 1.1387,                0.48723,                  0.375,                0.40934,                0.26182,                 1.0717,                 3.4192,                 1.5925,              0.0008085,              0.0008085,              0.0008085
                      5,                 0.8809,                 1.9555,                 1.1719,                0.55934,                0.44492,                0.46018,                 0.3066,                 1.0772,                 3.3167,                 1.5643,               0.001003,               0.001003,               0.001003
                      6,                0.92887,                 1.9873,                 1.2166,                0.38327,                0.38605,                0.34367,                0.24363,                  1.015,                 3.5934,                 1.5655,               0.001056,               0.001056,               0.001056
                      7,                0.87626,                 1.8498,                 1.1781,                0.38309,                   0.73,                0.53935,                 0.3498,                 1.0098,                 3.3012,                 1.4904,               0.001045,               0.001045,               0.001045
                      8,                0.89735,                 1.7761,                 1.1847,                0.33807,                0.60454,                0.45291,                0.30679,                 1.0577,                 2.7399,                 1.4818,               0.001034,               0.001034,               0.001034
                      9,                0.83755,                 1.6196,                 1.1558,                0.50075,                0.44161,                0.50979,                0.34299,                  1.041,                 2.8313,                 1.4532,               0.001023,               0.001023,               0.001023
                     10,                0.83935,                 1.5623,                  1.151,                0.49708,                0.44777,                0.45986,                0.29666,                 1.0551,                 2.9935,                 1.4913,               0.001012,               0.001012,               0.001012
                     11,                0.89914,                 1.6121,                 1.1689,                0.68031,                0.44167,                0.56788,                 0.3982,                 1.0739,                 2.5307,                 1.5268,               0.001001,               0.001001,               0.001001
                     12,                0.89792,                 1.5644,                 1.1686,                0.52517,                0.56786,                0.53745,                0.34931,                 1.2677,                 2.6682,                 1.6726,             0.00099001,             0.00099001,             0.00099001
                     13,                0.83752,                 1.4574,                 1.1531,                0.52355,                0.66776,                0.60321,                0.43927,                0.88537,                 2.1625,                 1.2746,             0.00097901,             0.00097901,             0.00097901
                     14,                0.82824,                 1.4789,                 1.1539,                   0.55,                0.75023,                0.62494,                0.43985,                0.98692,                 2.3164,                 1.4162,             0.00096801,             0.00096801,             0.00096801
                     15,                0.77773,                 1.3275,                 1.1221,                0.56499,                0.64391,                0.61744,                0.46179,                0.90187,                  2.352,                 1.2995,             0.00095702,             0.00095702,             0.00095702
                     16,                0.81743,                 1.2766,                 1.1133,                0.51556,                0.69886,                0.62113,                0.43198,                0.90939,                 2.3281,                 1.3141,             0.00094602,             0.00094602,             0.00094602
